SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year
33,"SOYTPEP12AB0180E7B",643400,"Best of The Shangri-Las","ARAJPHH1187FB5566A",40.7038,"Queens NY",-73.83168,"The Shangri-Las",0.0,164.80608,10,0.254,130.1,1,0.0,"Twist and Shout",1964
34,"SOGXHEG12AB018653E",663761,"20 Of Her Best","AR0RCMP1187FB3F427",30.08615,"Beaumont TX",-94.10158,"Billie Jo Spears",0.0,133.32853,4,0.384,160.839,1,0.0,"It Makes No Difference Now",1992
35,"SOOLYAZ12A6701F4A6",12882,"Who Is Mike Jones?","AREBBGV1187FB523D2",,"Houston TX",,"Mike Jones (Featuring CJ_ Mello & Lil' Bran)",0.0,173.66159,7,0.299,41.993,1,0.0,"Laws Patrolling (Album Version)",0
36,"SOGOSOV12AF72A285E",270281,"Tibiri Tabara","ARGUVEV1187B98BA17",,"",,"Sierra Maestra",0.0,313.12934,9,0.724,189.646,3,0.674,"¿Dónde va Chichi?",1997
37,"SOJXVAH12A8C139700",244586,"Piouhgd + Widowermaker!","ARPQ4Z01187FB3A736",29.42449,"San Antonio TX",-98.49462,"Butthole Surfers",0.0,450.84689,4,0.726,130.586,4,0.42,"Barking Dogs (From "Piouhgd")",0
38,"SOVXMTN12A8C135A18",157648,"Profities","ARNQAVF11F4C844C04",,"",,"Despina Vandi",0.0,303.09832,8,0.532,128.292,4,0.83,"OUTE ENA EFHARISTO",0
39,"SORSECL12AB0182267",644631,"Cracks","ARXUT4W1187FB48BEB",,"",,"Javier Navarrete",0.0,128.83546,3,0.0,90.932,3,1.0,"Midnight Swim",0
40,"SOOGFBZ12AC3DF7FF2",730551,"Pieces Of Time","ARDD1RC1187B9B52B4",,"",,"Jacob Young",0.0,456.30649,1,0.611,89.667,4,0.747,"In A Subtle Way",0
41,"SOMSBGZ12AB018C4CB",709879,"The Palest Grey","ARLGWFM1187FB4AC9F",34.05349,"California - LA",-118.24532,"Scarlet's Remains",0.0,198.73914,7,0.673,115.061,4,0.731,"Spin",2007
42,"SONYRZV12AB018AF70",706005,"A Match & Some Gasoline","ARWYVP51187B98C516",42.33168,"Detroit MI",-83.04792,"The Suicide Machines",0.0,95.68608,2,0.421,115.887,4,0.744,"Burning In The Aftermath",2003
43,"SONQBUB12A6D4F8ED0",42595,"Jump Back - The Best Of The Rolling Stones_ '71-'93","ARFCUN31187B9AD578",51.50632,"London England",-0.12714,"The Rolling Stones",0.0,271.49016,9,0.301,139.333,1,0.0,"Angie (1993 Digital Remaster)",0
44,"SOHGKJW12AC468A8BD",782470,"Lo Mejor con La Orq. Broadway","AR6YDKV1187B989230",,"",,"Roberto Torres",0.0,226.66404,0,0.863,117.271,4,0.453,"Sabor Guajiro",0
45,"SOINBCU12A6D4F94C0",28723,"Grown Man","ARV1JVD1187B9AD195",35.91463,"Chapel Hill NC",-79.05661,"Loudon Wainwright III",0.0,190.48444,3,0.544,102.428,4,0.496,"Human Cannonball",1995
46,"SOTWVQT12A58A79650",557761,"A Bothered Mind","AR7TTS41187B9B42D3",34.36401,"Oxford MS",-89.51877,"R.L. Burnside",0.0,277.78567,2,0.0,89.984,4,0.0,"Glory Be",2004
47,"SOTSEJY12AB0180F56",417945,"Greatest Hits","ART3O5Z1187B9AB043",32.77815,"Dallas TX",-96.7954,"Stevie Ray Vaughan",0.0,248.78975,1,0.754,116.721,4,0.522,"Crossfire",1992
48,"SOTSETT12AB01863B8",575531,"Bluesman","AR5U94U1187FB5CDCF",,"",,"John Hammond",0.0,195.3171,7,0.98,123.142,4,0.678,"I Can't Be Satisfied",2002
49,"SOTUNMH12A6D4FA3E6",234425,"Etiquette","ARRJNTE1187FB44E12",,"",,"Casiotone For The Painfully Alone",0.0,175.72526,0,0.522,141.919,4,0.445,"Nashville Parthenon",2006
50,"SOEPPKB12AB018418B",505301,"Ec8or","AR6IRG41187B9A4D98",52.51607,"Berlin Germany",13.37698,"Ec8or",0.0,217.23383,10,0.005,95.596,4,1.0,"Cocain Ducks",1995
51,"SOGKIWV12A6D4F86C4",74655,"Too Much Too Soon","ARS1OWB1187B99EEAD",,"New York NY",,"The New York Dolls",0.0,344.05832,11,0.425,154.953,1,0.0,"Human Being",1974
52,"SOPHYIS12AAF3B35A3",322532,"Bossa Nova Stories","ARGMXQW1187FB54C34",-23.56287,"Sao Paulo Brazil",-46.65466,"Eliane Elias",0.0,251.42812,7,0.391,86.091,5,0.551,"The More I See You",2009
53,"SOFHBAR12A6701D0FE",14592,"Love_ Peace & Nappiness","AROEL1B1187B988B90",,"South Jamaica Queens",,"Lost Boyz",0.0,269.7922,7,0.715,90.218,4,1.0,"Certain Things We Do",1997
54,"SOCPRKM12AB018A2FD",515081,"Germicide","AR8W8DN1187FB35ED0",34.05349,"Los Angeles CA",-118.24532,"The Germs",0.0,206.05342,11,0.641,133.144,1,0.0,"Forming",1977
55,"SOFGHAM12AB0186412",765750,"Mafuá","ARUWLCL1187FB549B8",,"",,"Yamandu Costa",0.0,190.04036,2,0.105,205.317,4,0.0,"Mafuá",0
56,"SODHVES12A6701CE6B",17220,"The Road To Hell Part 2","AR3793X1187FB50CB3",,"Middlesbrough England",,"Chris Rea",0.0,241.162,9,0.222,180.149,4,0.0,"Driving Home For Christmas",1986
57,"SOXIATP12AAF3B2184",617077,"Vanguard Visionaries","ARINEWW1187FB5577E",,"",,"Perrey And Kingsley",0.0,122.64444,0,0.61,102.538,4,0.869,"Spooks In Space",1966
58,"SOGNQWU12A8AE4868F",278999,"Be Yourself Tonight","ARDGB6U1187FB3AD07",51.50632,"London England",-0.12714,"Eurythmics",0.0,207.0722,0,0.442,84.164,4,0.853,"Tous Les Garçons Et Les Filles",1985
59,"SOYQOFI12A6D4F76E1",19601,"Hometown 2001","AR2J2WF1187FB46271",54.48303,"Egremont Cumbria England",-3.53444,"Francis Dunnery",0.0,300.79955,7,0.666,124.175,4,0.698,"Too Much Saturn",1995
60,"SOVOLGY12A6D4F822B",38599,"Eat / Kiss: Music For The Films By Andy Warhol","ARUI8651187B9ACF52",,"Garnant Wales",,"John Cale",0.0,228.46649,7,0.458,137.004,1,0.0,"Movement 4 [from Kiss] (Album Version)",1997
61,"SOMZCVH12AB0182B8E",619882,"The Ultimate Most Relaxing New Age Piano in the Universe","AR89DTT1187B9A7ED5",37.77916,"California - SF",-122.42005,"Suzanne Ciani",0.0,239.59465,7,0.527,106.33,4,0.526,"Stream",0
62,"SONXJBL12AAF3B2C0C",618615,"Classic Gold: Best of All","ARMD0G81187B99A519",,"",,"Vickie Winans",0.0,228.93669,11,0.172,107.961,4,1.0,"Make Me Over",0
63,"SOYWZTU12AB0180E26",681639,"The Berzerker","AR0VZWC1187B99BA57",-37.81753,"Melbourne Australia",144.96715,"The Berzerker",0.0,165.61587,1,0.108,174.287,3,0.132,"Deform (live)",2000
64,"SOLGHDZ12AB0183B11",449471,"Holy Roller Novocaine","ARF2EHS1187B994F4E",36.16778,"Nashville Tennessee",-86.77836,"Kings Of Leon",0.0,187.92444,0,0.612,116.823,4,0.347,"Wicker Chair",2003
65,"SOTNTNJ12AAA15FBD6",321356,"Jeux de dames_ vol. 1 (réalisation Ronald Rubinel)","ARZKRD01187FB45FD2",,"",,"Edith Lefel",0.0,276.50567,0,0.29,101.972,4,1.0,"An ti chans'",0
66,"SOXZXXV12AAF3B3A67",530141,"I Will Love Again","ARK4H5K1187B992F74",,"",,"Taras",0.0,200.25424,11,0.056,127.97,4,0.0,"I Will Love Again (JJ's Club Radio)",0
67,"SOPIKEG12A58291636",104765,"White Trash ......","AR06EB01187FB40150",,"Berkeley CA",,"NOFX",0.0,144.50893,4,0.093,152.622,4,0.358,"Stickin In My Eye",1992
68,"SOIRNBO12AC468D207",695158,"Murskapunkkia","ARKPDBH1242077DEB1",,"",,"Murskahumppa",0.0,285.17832,7,0.379,110.787,3,1.0,"Ota kiinni",0
69,"SOSBDSF12AB0189007",509770,"Canción Animal","ARBJSO81187B9BA09B",,"",,"Soda Stereo",0.0,246.69995,7,0.161,112.903,4,1.0,"Entre Caníbales",1990
70,"SOIJXXM12A8C1416D6",223779,"The Man from Snowy River","ARRC2JF1187B9B6A93",-24.9162,"AUSTRALIA",133.39311,"Bruce Rowland",0.0,84.03546,7,0.469,115.642,4,0.44,"Rosemary Recalls",1985
71,"SOHMMMC12AB0181C42",466577,"One World One People","ARNIFX51187FB418EA",,"",,"Xcultures",0.0,273.52771,1,0.652,125.013,4,1.0,"Sudanese Dance",2000
72,"SOVJXVJ12A8C13517D",148547,"Tales Of Wonder","ARCCRTI11F4C845308",,"",,"White Heart",0.0,298.84036,5,0.596,113.277,4,0.872,"Where The Thunder Roars (Tales Of Wonder Album Version)",0
73,"SOFZCTA12AB0188D8F",423012,"Waterbed Hev","ARNVH8S1187FB52F86",18.11526,"Jamaica West Indies",-77.27348,"Heavy D / McGruff",0.0,161.38404,5,0.665,96.979,4,0.895,"Wanna Be A Player",1997
74,"SOLRYQR12A670215BF",7133,"The Best Of Both Worlds","ARNLO5S1187B9B80CC",,"Pasadena CA",,"Van Halen",0.0,209.29261,8,0.455,140.995,1,0.41,"Panama (Remastered Album Version)",0
75,"SOCHRXB12A8AE48069",358442,"Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness","ARTDQRC1187FB4EFD4",,"Los Angeles CA",,"Black Eyed Peas",0.0,229.61587,11,0.205,105.206,4,1.0,"Let's Get It Started",2004
76,"SOKBBXO12A6701DEA0",15567,"Things Falling Apart","ARK9TRQ1187B99C095",41.50471,"Cleveland OH",-81.69074,"Nine Inch Nails",0.0,426.89261,0,0.05,63.017,4,0.378,"Metal",2000
77,"SOWHYUG12A58A77FAB",413222,"Your Funeral... My Trial (2009 Digital Remaster)","ARODBRG1187FB3FD99",,"",,"Nick Cave & The Bad Seeds",0.0,269.26975,9,0.052,144.603,4,0.0,"She Fell Away (2009 Digital Remaster)",0
78,"SOYSTDI12A6D4F6500",80578,"Oasis of Love","ARMBYRO1187FB57419",,"",,"Nadine Renee",0.0,249.41669,2,0.883,167.92,4,0.75,"Next Time",0
79,"SOOOROX12A6D4F8400",26902,"60's Triple set","ARWY7I71187FB36C3D",40.71455,"New York NY",-74.00712,"Lesley Gore",0.0,136.48934,9,0.386,129.122,1,0.0,"It's My Party",1963
80,"SONSPZE12AB01819CE",633532,"Yeah.  Well_ Anyway....","AR6Y22S1187B99906F",,"",,"Smartbomb",0.0,233.27302,0,0.53,132.022,4,0.782,"Complicate It",2001
81,"SOHWGFU12AB017B036",435830,"Un Titre de Toune","ARI5P4N1187FB3F44D",,"Minnesota",,"Suburbs",0.0,187.24526,1,0.842,183.92,1,0.063,"Monde De Fou",2005
82,"SOQQVQJ12AB0185192",495734,"Live Inferno","ARYPWUK1187B98ACED",64.55653,"Norway",12.66538,"Emperor",0.0,72.61995,9,0.0,89.867,4,0.476,"Opus a Satana (Part 2)",0
83,"SODRHHD12AB0189F2A",664484,"Vendredi 13 - 1981","ARW63KF1187B98AC48",46.71067,"FR",1.71819,"Julien Clerc",0.0,272.63955,2,0.633,119.896,5,0.921,"This Melody (Live)",0
84,"SOQGFVO12A8C13C8C3",112851,"Unconditional Love","AR8H87D1187FB3A841",34.03142,"Delight AR",-93.50243,"Glen Campbell",0.0,142.75873,1,0.62,137.29,4,0.0,"I'm Gone This Time",0
85,"SORABMD12A8C136672",200689,"The Very Best Of","ARLWR721187B9A03C9",35.82213,"Humboldt TN",-88.91599,"T.G. Sheppard",0.0,194.11546,5,1.0,82.343,1,0.387,"You Feel Good All Over",2002
86,"SOTUBVH12AB018D2EC",682725,"Country Lovers. Vol. 3","ARF4V431187FB3AA41",27.94653,"Tampa FL",-82.45927,"Slim Whitman",0.0,195.91791,3,0.883,91.487,4,0.0,"Indian Love Call",1990
87,"SOMQAGT12A8C132DB4",287804,"Affirmation","ARBGWMW1187B9AEA3E",,"CA",,"Savage Garden",0.0,118.33424,9,0.0,84.69,5,0.678,"You Can Still Be Free",1999
88,"SOKLLOH12A67020F2C",220917,"Lullabies To Paralyze","AR6G4V01187B9AD086",,"",,"Queens Of The Stone Age",0.0,288.41751,2,0.08,115.606,4,0.0,"I Never Came",2005
89,"SONRLQH12AB017C232",629785,"It's War Again","ARVQ4QM1187B98AD95",33.52029,"Birmingham AL",-86.8115,"Hank Penny & The Lincoln Penny Orchestra",0.0,123.21914,7,0.278,126.523,1,0.0,"Dixie",0
90,"SODDZAD12A6701DC4C",11305,"The Singles","AR9AM2N1187B9AD2F1",53.4796,"Manchester England",-2.24881,"Inspiral Carpets",0.0,283.76771,2,0.823,113.677,4,1.0,"Commercial Reign",1990
91,"SORENXV12A6701F61F",4967,"What You Thought You Heard","AR9XEVF1187B99D017",,"",,"Borialis",0.0,239.3073,2,0.569,86.938,4,0.222,"Hourglass",0
92,"SOYMMDY12AB01825B2",325335,"Daddy Don't Disco","ARCFOZ71187FB43A0D",,"",,"The Dirty Skirts",0.0,206.75873,0,0.613,141.936,4,0.634,"Wake",0
93,"SOJWQIP12A6D4F710A",82932,"15 Exitos Vol. 2 Flor Silvestre","ARHFEBO11F50C4825A",,"",,"Flor Silvestre",0.0,134.81751,11,0.847,106.049,1,0.0,"Caricia Y Herida",0
94,"SOOVOKS12AB017EE57",401583,"Le top du père Nöel","AR107SB1187B9A79F9",,"Bézu comme Superdupont ne connait qu&#039;un pays : la France !",,"Bézu",0.0,285.64853,8,0.508,126.88,4,0.0,"Le tortillard",0
95,"SORWHWY12A6702038E",8552,"Malpractice","ARXWAQQ1187B9AE954",,"Newark NJ",,"Redman",0.0,124.18567,1,0.074,85.008,5,1.0,"WKYA (drop)",2001
96,"SOGYYLE12A8C13E5EA",217058,"20 Suosikkia / Rilluttele yö","ARL6XZC1187FB3936E",,"",,"Solistiyhtye Suomi",0.0,134.08608,4,0.718,133.699,1,0.0,"Teräslintu",0
97,"SOITUXQ12AB0183AE9",489673,"The Fabulous Eddie Cantor","ARSDSMG1187B98CB59",40.71455,"New York NY",-74.00712,"Eddie Cantor",0.0,155.61098,11,0.599,118.975,1,0.003,"Now's The Time To Fall In Love",0
98,"SOTWEZZ12A8C142B60",475992,"Grim Prospects Remixes - Grim Prospects Will Never End","AR3WMW01187B9921F7",,"",,"Schizoid",0.0,275.40853,9,0.376,102.408,4,0.395,"Grim Prospects (Gross Prospects - Bad Trip Remix)",0
99,"SOUVRGZ12A58A77F90",495041,"The Incredible Kai Winding Trombones","AR3C3C01187B98E800",56.153,"Aarhus Denmark",10.20452,"Kai Winding",0.0,223.4771,0,0.0,112.006,4,0.844,"Mangos",1961
100,"SOBLTSM12A6D4F9EEA",225610,"Staying on the Watch","ARDD9UN1187B98D3A7",31.84666,"Sicily Island LA",-91.657,"Sonny Simmons",0.0,443.24526,1,0.0,45.527,4,0.0,"A Distant Voice",0
101,"SOUQVUD12A8C142DCE",473710,"Openbare Weg","ARJGNV61187B98F3B5",,"Tallahassee FL",,"Mira",0.0,177.81506,4,0.695,85.621,4,0.612,"Openbare Weg",2006
102,"SOCRPDR12AB0185B75",710902,"Tip World Singles 2000","ARSVI4L1187B996181",,"",,"Citizen Kaned",0.0,385.33179,8,0.822,108.061,4,1.0,"President Johnson",2000
103,"SOXVBVL12AF72A600C",341940,"Praise Him...Live!","ARVJ0JK1187B98C9C0",,"",,"The Brooklyn Tabernacle Choir",0.0,324.44036,7,0.558,216.195,5,1.0,"Lead Me Lord",1995
104,"SOIQHDR12AB01896C8",766444,"Spontanous Combustion","AR4PCIG1187B98D07D",36.16778,"Nashville TN",-86.77836,"Ellen McIlwaine",0.0,275.12118,7,0.699,132.428,4,0.281,"Spontanous Combustion",0
105,"SODLSHA12AAF3B29F2",432406,"From All Sides","AR1RHCO1187B9AF0BF",37.77916,"San Francisco CA",-122.42005,"Vince Guaraldi / Bola Sete",0.0,294.66077,5,0.238,168.307,4,0.0,"Choro",0
106,"SOAGHMH12AB0180285",546663,"Maurice Chevalier  The Essential Collection Vol 1","AR1X2H01187B98CCF2",,"Menilmontant France",,"Maurice Chevalier",0.0,193.20118,0,0.371,140.956,7,0.866,"Ma Louise",0
107,"SORAVUP12AB018556E",548374,"Dave Pearce Best of the Dance Years 1988 - 1992","ARBQBZV1187B99D29E",,"",,"Carl Cox Vs Yousef",0.0,357.82485,1,0.485,130.016,5,1.0,"I Want You (Forever)",1991
108,"SOFXNQP12AB0184F1A",704183,"The Equinox","AR9ODB41187FB459B2",,"SPRINGFIELD Virginia",,"Organized Konfusion",0.0,198.3473,11,0.306,175.769,4,0.7,"Hate",1997
109,"SOGQTRZ12A8C13C8B0",307618,"Timeless","ARF3GX71187FB3EB66",,"Medicine Lodge KS",,"Martina McBride",0.0,261.95546,7,0.96,100.194,3,1.0,"I Can't Stop Loving You",2005
110,"SOBHVZQ12AC9618285",784530,"Feel Good All Over: Anthology 1970-1976","AR3PN3R1187FB4CEBD",18.01571,"Kingston Jamaica",-76.79731,"Horace Andy",0.0,176.27383,2,0.171,151.911,4,0.231,"Thank You Lord",1985
111,"SOYPBCY12AB0181EF3",534470,"13th And Pine","ARYWCFZ11E2835CFDD",,"",,"Nazz",0.0,220.89098,9,0.606,119.691,4,0.491,"How Can You Call That Beautiful (Stewkey Vocal)",0
112,"SOWRLSY12AC4687694",599659,"Call Tyrone","ARUT16P1187FB532A4",33.39847,"Greenville MS",-91.03786,"Tyrone Davis",0.0,235.91138,10,0.46,161.976,4,0.696,"Cheatin' In The Next Room",0
113,"SOOGQWR12A8C142505",372122,"Final Vinyl","AREOGMA1187B9908EF",37.77916,"San Francisco CA",-122.42005,"Hot Tuna",0.0,239.59465,0,0.601,172.398,1,0.0,"Candy Man",1971
114,"SOJDYQY12AB0188C97",577023,"Fifteen Poems By Dylan Thomas","AR4ABL21187FB3913A",40.99471,"Pennsylvania",-77.60454,"Richard Burton",0.0,171.49342,2,0.45,109.823,3,0.659,"I See The Boys Of Summer",0
115,"SOBHQUF12AB018B03E",572855,"The Early Tapes 1975-1976","AR8YV1I1187FB45D2B",40.71455,"New York NY",-74.00712,"Rory Block",0.0,266.05669,1,0.936,90.101,1,0.0,"Three Is a Crowd",0
116,"SOFRAZJ12A8C143CDB",523481,"Legacy","ARR9XGB1187B9912E6",,"Philadelphia PA",,"Boyz II Men",0.0,329.27302,8,0.497,116.473,4,1.0,"On Bended Knee",1994
117,"SONNDHT12A8C13F20B",219943,"Louie Bluie Film Soundtrack","ARBKUS51187B98A3AC",35.4948,"Dayton TN",-85.01235,"Howard Armstrong",0.0,198.922,9,0.0,126.821,4,0.0,"My Four Reasons",0
118,"SOYZOXW12A8C13E195",266932,"Donny Hathaway","ARTB5PP1187FB523B7",41.88415,"Chicago IL",-87.63241,"Donny Hathaway",0.0,283.21914,2,0.499,111.191,3,0.851,"Little Girl (LP Version)",1971
119,"SOSGJTX12AB0181F7C",514801,"Canciones De Amor De Miguel Gallardo","ARXFQDY1187B9AAF1E",,"",,"Miguel Gallardo",0.0,238.68036,5,0.458,125.508,4,0.462,"Eternamente Amame",0
120,"SOBQBWP12AB018611B",421962,"Irfan_ le héros","ARVEJ9M1187FB4DC44",,"",,"Les Ogres De Barback",0.0,254.06649,4,0.446,137.888,1,0.0,"Niev nietch nievitch",1999
121,"SODULLV12AB017FA09",502384,"What up Detroit","ARTHEAP122BCFCD0B2",,"",,"DJ X-Change featuring DJ Joey A",0.0,184.31955,6,0.0,150.012,4,0.0,"Come Over",0
122,"SOYAGJM12A8C13DCCE",254792,"Peterbilt Angel","ARQESNI1187FB511EE",38.8991,"Washington DC",-77.029,"Morel",0.0,311.40526,10,0.685,108.367,4,0.36,"Blue Taxi",0
123,"SORXUZZ12A8AE4798A",138320,"Homemade Ice-Cream","ARCZ20M1187FB49687",32.77942,"Goodwill LA",-91.56123,"Tony Joe White",0.0,162.53342,2,0.243,173.482,4,0.804,"I Want Love (Tween You & Me) (Album Version)",0
124,"SOCHXAE12AF72A25D6",722546,"White Feather","ARDF8K01187FB37200",,"Sydney Australia",,"Wolfmother",0.0,212.37506,4,0.372,110.745,4,1.0,"White Feather",2009
125,"SOCRHCQ12A58A7C8C6",46647,"Can We Go Home Now","AR11NP91187B9901B4",,"New York City",,"The Roches",0.0,338.33751,2,0.626,130.027,4,0.509,"Christlike Roche",1995
126,"SOSEJIQ12AB017E7EB",547104,"In North Carolina","ARBZAIL1187FB5B1C8",42.31256,"Boston MA",-71.08868,"Bob Margolin",0.0,126.51057,11,0.228,110.168,4,0.92,"You Rascal You",0
